country,Relational Mobility,RM,Interpolated,Migration,MedianAge_2020_UN,GDP_2018,Pop_Density2020_UN,Population_2020_UN,Region,Tourism,PercUrban
Serbia and Montenegro,-0.020574914,,Yes,-0.1555,40.1875,19062.45144,73.2986929,9333,Europe & Central Asia,1894000,61.4525
Singapore,-0.137,-0.137,No,4.724,42.226,101531.6302,8357.632857,5935,East Asia & Pacific,14673000,100
Slovenia,-0.012948202,,Yes,0.964,44.539,38048.78466,103.2240318,2082,Europe & Central Asia,4425000,54.541
South Africa,-0.020354208,,Yes,2.536,27.621,13686.88236,48.89059344,58721,Sub-Saharan Africa,10472000,66.355
South Korea,-0.007,-0.007,No,0.23,43.734,40111.77576,527.2979842,51507,East Asia & Pacific,15347000,81.459
Spain,0.128,0.128,No,0.856,44.858,39715.43906,93.73452887,46459,Europe & Central Asia,82773000,80.321
Sweden,0.171,0.171,No,4.027,41.078,53208.88436,24.61195594,10122,Europe & Central Asia,7440000,87.431
Switzerland,0.029988853,,Yes,6.135,43.053,68060.94105,219.015538,8671,Europe & Central Asia,10362000,73.797
Taiwan,-0.294,-0.294,No,1.267,42.455,18236.61298,672.6002542,23818,East Asia & Pacific,#N/A,#N/A
Thailand,-0.053252862,,Yes,0.281,40.102,19051.33338,136.6242792,69411,East Asia & Pacific,38178000,49.949
Trinidad and Tobago,0.164,0.164,No,-0.578,36.176,32014.78313,272.8052632,1378,Latin America & Caribbean,375000,53.184
Tunisia,-0.222,-0.222,No,-0.348,32.835,12502.82019,76.07246395,11903,Middle East & North Africa,8299000,68.945
Turkey,-0.06,-0.06,No,3.487,31.549,28068.85941,109.583913,83836,Europe & Central Asia,45768000,75.143
Ukraine,0.053,0.053,No,0.226,41.178,9233.150469,75.49154008,43579,Europe & Central Asia,14104000,69.352
US,0.182,0.182,No,2.929,38.308,62794.58565,36.18535576,331432,North America,79745920,82.256
Uruguay,0.005567703,,Yes,-0.871,35.76,23572.17746,19.84760027,3494,Latin America & Caribbean,3469000,95.334
Uzbekistan,-0.058786442,,Yes,-0.275,27.809,8556.051512,78.67700752,33236,Europe & Central Asia,5346000,50.478
Vietnam,-0.052317621,,Yes,-0.842,32.49,7447.814334,313.9245428,98360,East Asia & Pacific,15498000,35.919
Yemen,-0.11545329,,Yes,-1.065,20.221,2575.126385,56.49178552,30245,Middle East & North Africa,366700,36.642
Zambia,-0.043976373,,Yes,-0.467,17.592,4223.906936,24.72989413,18679,Sub-Saharan Africa,1072000,43.521
Zimbabwe,-0.055385849,,Yes,-8.15,18.668,3029.793005,38.42038775,17680,Sub-Saharan Africa,2580000,32.209
Israel,0.088,,No,1.202,30.484,39919.16965,399.9787893,8714,Middle East & North Africa,4121000,92.418
Mauritius,0.059,,No,0,37.457,23750.98804,626.4862069,1.27,Sub-Saharan Africa,1399000,40.793
Portugal,0,,No,-0.584,46.158,33415.4379,111.3299159,10218,Europe & Central Asia,16186000,65.211
Venezuela,0.226,,No,-22.327,29.592,,32.23847061,33172,Latin America & Caribbean,427000,88.208
Puerto Rico,0.308,,No,-31.394,44.467,39540.58693,322.529876,3651,Latin America & Caribbean,3068000,93.578
