participant,sex,age,relat,income,poli_soc,poli_econ,trust_gen,DS1,DS2,DS3,DS4,DS5,DS6,DS7,relationship_category,part_leng,part_sex,part_age,HH1,HH2,HH3,HH4,HH5,HH6,HH7,HH8,HH9,HH10,comf1,comf2,comf3,comf4,comf5,comf6,comf7,comf8,comf9,comf10,37_54,37_46,37_39,37_31,37_24,37_17,37_9,37_2,37_-6,37_-13,23_33,23_29,23_24,23_20,23_15,23_10,23_6,23_1,23_-3,23_-8,75_109,75_94,75_79,75_64,75_49,75_34,75_19,75_4,75_-11,75_-26,19_28,19_24,19_20,19_16,19_12,19_9,19_5,19_1,19_-3,19_-7,46_67,46_58,46_48,46_39,46_30,46_21,46_12,46_2,46_-7,46_-16,68_99,68_85,68_71,68_58,68_44,68_31,68_17,68_3,68_-10,68_-24,English_exclude
278,1,41,1,7,4,5,11,4,2,2,2,3,1,2,1,13,2,42,5,5,5,5,5,5,5,5,5,5,7,7,7,4,7,7,7,4,7,7,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0
279,2,28,2,10,6,6,6,7,7,7,4,7,7,7,2,6,1,28,1,5,5,5,5,4,5,5,1,5,2,1,7,1,1,5,5,1,1,1,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0.75,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,0,-0.25,0
280,1,43,2,2,1,2,8,4,1,3,2,2,3,5,3,3,1,53,4,1,4,2,3,2,4,4,3,2,3,3,4,3,2,4,4,3,4,3,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0
281,1,29,1,8,5,1,3,5,2,3,3,6,3,3,2,7,1,29,5,2,4,3,4,4,3,2,4,4,5,4,6,2,6,3,2,3,6,6,1.55,0,1.15,0,0,0,0.35,0,-0.05,-0.25,0,0,0,0.95,0,0,0,0.15,-0.05,-0.45,0,0,0,0,0,0,0,0,-0.05,-0.45,0,0,0,0.95,0.75,0.55,0,0,-0.05,-0.25,0,0,0,0.95,0,0,0.35,0,0,-0.45,1.55,0,1.15,0,0,0.55,0.35,0.15,-0.05,-0.25,0
282,2,36,1,9,3,3,4,4,7,7,3,6,3,7,1,13,1,39,5,1,5,3,5,4,5,5,5,5,7,4,7,1,7,2,7,5,7,7,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,1.15,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0,0.35,0.15,-0.05,-0.25,0,0,1.15,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0
283,1,28,2,12,3,3,6,7,7,7,4,6,7,7,4,5,1,30,1,1,1,1,1,1,1,2,1,1,1,1,4,1,1,1,3,1,2,2,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0
284,2,34,1,7,2,2,9,5,3,3,4,4,3,4,1,7,1,36,4,3,4,4,4,2,2,4,4,3,7,6,7,5,7,6,7,6,7,7,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0
285,2,31,1,4,1,1,6,6,4,5,4,5,7,6,3,10,2,59,2,3,4,4,4,4,3,4,4,3,4,4,5,2,3,3,5,2,4,3,0,0,0,0,0,0,0,0.15,-0.05,-0.25,0,0,0,0,0,0,0.35,0.15,-0.05,-0.25,0,0,0,0,0,0,0.35,0,-0.05,-0.25,0,0,0,0,0,0,0.35,0.15,-0.05,-0.25,0,0,0,0,0,0,0,0.15,-0.05,-0.25,0,0,0,0,0,0,0,0.15,-0.05,-0.25,0
286,1,39,1,18,5,6,3,4,5,7,5,7,5,7,4,10,1,55,1,5,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,-0.45,0,0,0,0,0,0,0,0,0,-0.45,0,0,0,0,0,0,0,0,0,-0.45,0,0,0,0,0,0,0,0,0,-0.45,0,0,0,0,0,0,0,0,0,-0.45,0,0,0,0,0,0,0,0,0,-0.45,0
287,2,40,1,7,5,5,8,6,6,6,3,6,3,6,1,13,1,45,2,2,2,1,2,2,1,1,2,2,7,7,7,2,7,5,7,1,7,7,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0
288,1,29,2,5,5,3,8,6,7,4,5,6,5,4,2,13,1,30,4,1,4,3,4,2,3,2,4,4,4,4,3,2,4,3,5,2,4,4,1.55,1.35,0,0,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0,0.35,0.15,-0.05,-0.25,0,1.35,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0,0.15,-0.05,-0.25,1.55,1.35,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0,0.35,0.15,-0.05,-0.25,0
289,2,28,1,11,6,6,7,4,4,5,5,6,3,5,3,7,2,31,3,4,3,4,3,4,2,3,2,5,2,2,3,1,1,1,2,2,2,2,0,0,0,0,0,0,0.35,0.15,-0.05,-0.25,0,0,0,0,0,0,0.35,0.15,-0.05,-0.25,0,0,0,0,0,0,0,0.15,-0.05,-0.25,0,0,0,0,0,0,0.35,0.15,-0.05,-0.25,0,0,0,0,0,0,0.35,0.15,-0.05,-0.25,0,0,0,0,0,0,0.35,0.15,-0.05,-0.25,0
290,1,27,1,18,4,4,6,6,1,1,7,4,3,2,4,7,1,52,2,3,1,5,1,1,1,1,1,1,1,1,1,1,1,7,1,1,1,1,0,0,0,0,0,0,0,0,-0.05,-0.45,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0
291,1,30,1,8,4,5,3,4,4,5,3,4,4,6,1,6,2,28,4,1,4,5,4,3,3,4,4,2,7,7,7,5,7,7,7,7,7,7,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0
292,2,24,1,8,2,2,5,5,4,5,4,3,4,6,2,10,2,23,4,4,2,4,3,4,2,4,4,4,7,4,6,3,5,3,4,3,5,5,0,0,0,0,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,1.15,0,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,1.55,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0
293,1,27,1,19,5,5,9,5,6,4,7,6,4,5,1,7,2,26,4,5,5,4,4,5,3,4,4,4,7,7,7,4,7,7,7,4,7,7,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0
294,1,33,1,20,3,5,8,5,4,2,5,5,3,4,1,7,2,30,4,2,4,4,2,4,4,4,4,4,4,4,5,3,3,3,5,3,3,4,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0,0.75,0.55,0.35,0.15,-0.05,-0.25,0
295,1,29,1,17,4,4,5,5,6,5,4,6,4,7,1,7,2,29,4,3,3,3,4,4,2,2,4,4,1,1,1,1,4,1,7,1,7,1,1.55,1.35,0,0,0.75,0,0,0.15,0,-0.45,0,0,0,0,0,0,0,0.15,0,-0.25,1.55,0,0,0.95,0,0.55,0.35,0.15,-0.05,-0.25,0,1.35,1.15,0,0.75,0,0.35,0,-0.05,-0.25,1.55,1.35,0,0,0.75,0,0.35,0.15,-0.05,-0.45,0,0,1.15,0.95,0.75,0.55,0.35,0.15,-0.05,-0.45,0
296,1,28,1,10,5,6,5,4,5,4,5,6,4,6,3,13,1,29,2,2,2,2,2,2,2,2,4,2,5,5,6,3,3,5,6,2,5,3,0,0,0,0,0,0,0.35,0,-0.05,-0.45,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0
297,1,56,1,3,3,3,1,5,7,5,7,7,3,7,2,9,1,45,5,5,5,1,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0,0.75,0.55,0.35,0.15,-0.05,-0.25,0
298,2,27,1,4,4,4,1,7,4,6,5,2,1,7,4,8,2,27,3,1,1,3,3,3,1,3,1,1,1,4,7,1,1,1,7,1,1,4,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0
299,2,42,1,9,4,4,8,6,4,7,5,7,6,7,2,13,1,54,3,3,3,3,2,4,2,2,5,3,7,7,7,4,7,7,7,2,7,7,0,1.35,0,0,0.75,0.55,0.35,0.15,-0.05,-0.25,0,1.35,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,1.35,0,0,0.75,0.55,0.35,0.15,-0.05,-0.45,0,0,0,0.95,0,0.55,0.35,0.15,-0.05,-0.25,0,0,1.15,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0,0.55,0.35,0.15,-0.05,-0.25,0
300,1,24,2,20,1,2,9,6,4,5,2,4,7,3,3,1,1,50,4,5,4,4,5,4,4,5,4,5,7,1,7,1,5,2,7,2,5,4,0,0,0,0,0,0,0.35,0.15,-0.05,-0.25,0,0,0,0,0,0,0,0.15,-0.05,-0.25,0,0,0,0,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0,0,0,0.35,0.15,-0.05,-0.25,0,0,0,0,0,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0,0,0.55,0.35,0.15,-0.05,-0.25,0
301,1,22,1,20,1,3,8,6,3,4,4,4,5,5,2,9,1,23,2,3,2,4,4,2,4,4,2,3,2,2,3,3,2,5,4,2,1,2,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,1.35,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0
302,2,35,1,15,4,4,1,4,6,5,3,3,5,7,2,13,2,35,2,2,5,5,2,2,3,4,2,3,7,5,7,2,5,3,7,5,7,5,0,0,0,0,0,0,0.35,0.15,-0.05,-0.25,0,0,0,0,0,0,0.35,0.15,-0.05,-0.25,0,0,0,0,0,0,0.35,0.15,-0.05,-0.25,0,0,0,0,0,0,0,0.15,-0.05,-0.25,0,0,0,0,0,0,0.35,0.15,-0.05,-0.25,0,0,0,0,0,0,0.35,0.15,-0.05,-0.25,0
303,1,35,1,11,4,4,7,5,2,3,3,4,2,4,3,8,1,35,4,5,2,3,4,5,2,3,4,4,3,1,3,2,1,5,5,1,3,3,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0
304,2,21,2,5,3,3,4,6,2,3,7,3,7,4,4,5,1,32,2,2,3,1,3,2,1,2,4,3,1,3,1,1,1,1,2,2,1,1,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0
305,2,25,1,4,4,4,7,4,4,6,5,5,3,5,2,12,1,25,4,2,3,3,3,3,3,4,3,3,5,4,5,5,4,5,6,6,5,4,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,0,-0.45,0,0,1.15,0,0,0,0,0.15,0,-0.25,0,0,0,0,0.75,0.55,0,0,0,-0.25,0,0,0,0,0,0.55,0.35,0,0,-0.25,1.55,0,0,0,0.75,0,0,0.15,-0.05,-0.45,0
306,2,34,1,20,4,4,4,5,5,4,2,4,3,7,3,5,2,41,4,4,4,5,4,5,4,3,4,4,1,1,1,1,1,2,1,1,1,3,0,0,0,0.95,0.75,0.55,0.35,0,-0.05,-0.25,0,0,0,0.95,0,0,0.35,0.15,-0.05,-0.25,0,0,0,0,0,0,0.35,0.15,-0.05,-0.25,0,0,0,0,0,0,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0,0,0.55,0,0.15,-0.05,-0.25,0
307,2,40,2,10,5,5,7,6,5,4,5,5,3,7,4,13,2,65,2,2,2,1,2,2,2,2,1,2,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,0,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,0,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0
308,2,23,1,12,2,2,7,3,3,4,5,4,5,4,1,11,1,26,5,5,4,5,4,4,2,4,1,5,7,7,7,6,7,7,7,6,7,7,0,1.35,1.15,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,1.35,1.15,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,1.55,0,1.15,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,1.15,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,1.35,1.15,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,1.55,0,1.15,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0
309,1,38,1,13,3,3,7,4,6,3,4,4,4,5,4,4,2,43,2,1,2,1,2,2,2,2,2,1,1,1,1,1,1,1,4,2,1,1,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0
310,1,27,1,6,2,2,3,6,6,5,6,4,7,6,1,7,2,25,4,1,5,2,2,2,1,2,5,1,5,3,6,1,4,6,2,2,3,3,1.55,1.35,1.15,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,1.55,1.35,1.15,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,1.55,1.35,1.15,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,1.55,1.35,1.15,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,1.55,1.35,1.15,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,1.55,1.35,1.15,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0
311,1,30,2,9,3,4,9,4,4,2,6,2,5,4,2,13,1,30,1,2,4,4,2,5,4,3,1,4,7,5,6,2,5,5,6,6,5,7,0,0,0,0,0,0,0.35,0.15,-0.05,-0.25,0,0,0,0,0,0,0,0.15,-0.05,-0.25,0,0,0,0,0,0,0,0.15,-0.05,-0.25,0,0,0,0,0,0,0.35,0.15,-0.05,-0.25,0,0,0,0,0,0,0,0.15,-0.05,-0.25,0,0,0,0,0,0,0,0.15,-0.05,-0.25,0
312,1,53,1,5,7,7,8,5,4,2,3,4,1,4,3,7,1,22,5,1,1,4,4,2,1,4,5,1,7,1,5,1,1,7,6,2,1,5,0,0,0,0,0,0,0.35,0.15,-0.05,-0.25,0,0,0,0,0,0,0.35,0.15,-0.05,-0.25,0,0,0,0,0,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0,0.75,0,0.35,0.15,-0.05,-0.25,0,0,0,0,0,0,0.35,0.15,-0.05,-0.25,0,0,0,0,0,0,0.35,0.15,-0.05,-0.25,0
313,1,23,1,10,3,5,1,7,5,6,6,4,7,6,1,6,2,24,4,4,2,4,4,4,4,4,5,5,7,7,7,3,4,4,7,7,7,5,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,1.15,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0
314,2,34,1,7,2,2,6,5,4,5,6,5,4,3,4,13,1,80,2,1,1,1,1,2,2,3,2,2,2,2,3,1,2,2,3,2,2,3,0,0,0,0,0,0,0,0,0,-0.45,0,0,0,0,0,0,0,0,0,-0.45,0,0,0,0,0,0,0,0,0,-0.45,0,0,0,0,0,0,0,0,0,-0.45,0,0,0,0,0,0,0,0,0,-0.45,0,0,0,0,0,0,0,0,0,-0.45,0
315,2,28,1,7,2,2,5,5,4,2,4,3,4,3,1,12,1,31,2,2,4,5,3,4,3,4,4,4,7,6,7,1,7,7,7,6,7,5,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0,0.75,0.55,0.35,0.15,-0.05,-0.25,0
316,2,35,1,12,6,6,4,6,4,5,4,7,5,6,1,7,1,35,4,5,2,1,3,5,3,2,4,5,4,4,6,1,5,2,6,1,5,4,1.55,1.35,1.15,0.95,0.75,0.55,0.35,0,-0.05,-0.25,1.55,1.35,1.15,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,1.55,1.35,1.15,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,1.55,1.35,1.15,0.95,0.75,0,0.35,0.15,-0.05,-0.25,1.55,1.35,1.15,0,0.75,0.55,0.35,0.15,-0.05,-0.25,1.55,1.35,1.15,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0
317,1,36,1,7,7,7,9,4,7,2,4,7,3,2,3,6,2,30,,2,5,4,2,2,2,2,4,1,6,3,6,6,6,6,6,5,6,6,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0
318,1,28,1,4,1,1,8,3,4,5,2,4,3,6,1,7,2,32,1,1,1,3,1,1,1,1,1,1,7,7,7,5,7,7,7,7,7,7,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0,0,0.55,0.35,0.15,-0.05,-0.25,0
319,2,34,2,5,2,1,1,2,2,2,2,5,2,4,2,4,1,39,2,4,4,4,4,4,4,4,2,4,7,7,7,7,7,7,7,7,7,7,1.55,0,0,0.95,0,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0,0.75,0.55,0,0.15,-0.05,-0.25,0,0,0,0,0,0,0,0.15,-0.05,-0.25,1.55,0,0,0,0,0.55,0.35,0.15,-0.05,-0.25,0,1.35,0,0,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,1.15,0.95,0,0,0.35,0.15,-0.05,-0.25,0
320,2,50,2,9,5,5,8,6,4,3,5,4,7,6,3,6,2,28,4,5,3,3,3,3,1,4,4,5,3,1,2,3,1,4,2,1,1,4,0,0,0,0,0,0,0,0.15,-0.05,-0.25,0,1.35,0,0,0,0,0,0.15,-0.05,-0.25,0,0,1.15,0,0.75,0,0,0.15,-0.05,-0.25,0,0,0,0,0,0,0,0.15,-0.05,-0.25,0,1.35,0,0,0,0,0,0.15,0,-0.25,0,0,0,0,0,0,0,0.15,-0.05,-0.25,0
321,1,49,1,19,4,4,9,5,3,3,2,4,1,4,2,13,1,52,4,2,2,4,4,2,4,4,4,2,7,7,3,3,5,4,4,3,7,2,0,1.35,1.15,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,1.55,1.35,1.15,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,1.55,0,1.15,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,1.55,1.35,1.15,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,1.55,1.35,1.15,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,1.55,1.35,1.15,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0
322,1,31,2,2,7,4,9,4,5,4,6,6,6,7,2,13,1,31,5,5,4,3,5,5,2,4,5,5,5,5,3,2,2,5,4,1,5,3,0,0,0,0,0,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0
323,1,25,2,20,4,5,1,4,5,3,2,4,2,6,4,6,1,45,2,2,2,3,2,2,2,3,2,2,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,-0.45,0,0,0,0,0,0,0,0,0,-0.45,0,0,0,0,0,0,0,0,0,-0.45,0,0,0,0,0,0,0,0,0,-0.45,0,0,0,0,0,0,0,0,0,-0.45,0,0,0,0,0,0,0,0,0,-0.45,0
324,1,39,1,9,7,7,8,5,5,3,2,4,2,6,3,13,1,46,1,1,1,1,1,1,1,1,1,1,1,2,3,2,1,2,2,1,1,3,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0
325,1,44,1,14,5,7,8,4,2,5,5,5,4,4,1,10,2,47,4,2,3,3,4,4,3,2,4,3,6,5,5,6,5,5,6,5,5,5,1.55,1.35,1.15,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,1.35,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,1.55,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,1.15,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0,0.35,0.15,-0.05,-0.25,0,0,1.15,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0
326,1,42,2,6,1,1,9,3,4,4,5,6,3,5,4,13,2,60,3,4,4,1,3,3,2,2,2,4,3,2,4,1,2,3,4,1,2,3,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0
327,1,41,2,12,4,4,4,7,6,5,3,4,5,6,3,9,1,56,1,1,1,2,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0.35,0.15,-0.05,-0.25,0,0,0,0,0,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0,0,0,0.35,0.15,-0.05,-0.25,0,0,0,0,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0,0,0,0,0.15,-0.05,-0.25,0,0,0,0,0,0.55,0.35,0.15,-0.05,-0.25,0
