participant,sex,age,relat,income,poli_soc,poli_econ,trust_gen,DS1,DS2,DS3,DS4,DS5,DS6,DS7,relationship_category,part_leng,part_sex,part_age,HH1,HH2,HH3,HH4,HH5,HH6,HH7,HH8,HH9,HH10,comf1,comf2,comf3,comf4,comf5,comf6,comf7,comf8,comf9,comf10,37_54,37_46,37_39,37_31,37_24,37_17,37_9,37_2,37_-6,37_-13,23_33,23_29,23_24,23_20,23_15,23_10,23_6,23_1,23_-3,23_-8,75_109,75_94,75_79,75_64,75_49,75_34,75_19,75_4,75_-11,75_-26,19_28,19_24,19_20,19_16,19_12,19_9,19_5,19_1,19_-3,19_-7,46_67,46_58,46_48,46_39,46_30,46_21,46_12,46_2,46_-7,46_-16,68_99,68_85,68_71,68_58,68_44,68_31,68_17,68_3,68_-10,68_-24,English_exclude
248,1,40,1,15,4,4,4,6,7,6,3,6,5,7,1,13,2,35,4,4,4,4,4,4,2,4,4,4,7,7,7,3,7,3,7,3,7,5,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0
249,1,40,1,19,2,3,9,6,7,6,4,6,4,7,4,8,1,48,1,1,2,1,1,1,3,2,1,1,1,1,1,1,1,1,2,1,2,1,0,0,0,0,0,0,0,0,0,-0.25,0,0,0,0,0,0,0,0,0,-0.25,0,0,0,0,0,0,0,0,0,-0.25,0,0,0,0,0,0,0,0,0,-0.25,0,0,0,0,0,0,0,0,0,-0.25,0,0,0,0,0,0,0,0,0,-0.25,0
250,2,37,2,4,1,1,9,7,6,6,4,6,3,5,4,6,2,47,2,2,2,2,2,2,2,2,2,2,1,2,1,1,7,3,1,2,1,1,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0
251,1,31,2,5,3,3,5,4,4,2,4,4,5,5,2,12,1,30,3,3,2,4,4,3,3,3,3,4,5,4,5,4,5,4,6,4,5,5,0,0,0,0,0,0,0,0.15,-0.05,-0.25,0,0,0,0,0,0,0,0.15,-0.05,-0.25,0,0,0,0,0,0,0,0.15,-0.05,-0.25,0,0,0,0,0,0,0.35,0.15,-0.05,-0.25,0,0,0,0,0,0,0,0.15,-0.05,-0.25,0,0,0,0,0,0,0,0.15,-0.05,-0.25,0
252,1,33,2,3,1,1,6,3,2,3,2,4,5,3,4,13,2,29,2,3,2,2,2,3,1,2,4,3,4,2,5,3,3,4,6,4,3,4,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0
253,1,40,1,12,4,4,7,6,3,5,3,3,5,6,3,4,1,45,3,3,2,2,3,3,2,2,3,3,1,1,1,1,1,2,4,1,2,1,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0.15,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0.15,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0
254,2,42,1,19,4,4,7,7,4,4,5,5,4,6,4,13,2,38,4,2,2,2,4,3,2,2,4,2,2,6,2,1,1,4,5,1,3,6,0,0,0,0,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0,-0.05,-0.25,0,0,0,0,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0,0.55,0.35,0.15,-0.05,-0.25,0
255,2,48,2,7,1,3,10,5,3,3,4,4,5,3,2,10,2,57,2,4,4,4,2,4,4,2,2,4,7,2,7,1,7,6,7,1,7,6,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0
256,2,24,2,7,4,4,2,6,7,6,7,7,5,7,3,6,1,49,3,3,2,4,4,3,2,3,4,4,3,1,1,1,1,4,1,1,1,2,0,0,0,0,0,0,0,0.15,-0.05,-0.45,0,0,0,0,0,0,0,0.15,-0.05,-0.25,0,0,0,0,0,0,0,0.15,-0.05,-0.25,0,0,0,0,0,0,0,0.15,0,-0.25,0,0,0,0,0.75,0.55,0,0.15,-0.05,-0.25,0,0,0,0,0,0,0.35,0.15,-0.05,-0.25,0
257,2,63,2,2,2,2,9,6,3,2,7,3,6,5,4,13,1,71,5,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,0,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,0,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0
