participant,sex,age,relat,income,poli_soc,poli_econ,trust_gen,HH1,HH2,HH3,HH4,HH5,HH6,HH7,HH8,HH9,HH10,AG1,AG2,AG3,AG4,AG5,AG6,AG7,AG8,AG9,AG10,DS1,DS2,DS3,DS4,DS5,DS6,DS7,target_sex,target_category,relate_length,partner_age,partner_proximity,partner_height,partner_weight,partner_attractive,partner_hygiene,comf1,comf2,comf3,comf4,comf5,comf6,comf7,comf8,comf9,comf10,75_109,75_94,75_79,75_64,75_49,75_34,75_19,75_4,75_-11,75_-26,19_28,19_24,19_20,19_16,19_12,19_9,19_5,19_1,19_-3,19_-7,46_67,46_58,46_48,46_39,46_30,46_21,46_12,46_2,46_-7,46_-16,English_exclude
222,2,29,1,1,5,5,8,4,4,2,3,2,5,2,3,4,4,4,2,5,4,4,4,4,4,4,2,3,2,2,6,4,3,2,2,2,13,46,2,8,12,7,10,6,4,5,3,3,6,6,2,5,5,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0
223,1,50,1,9,3,5,7,4,3,2,5,4,5,5,5,4,5,2,4,4,5,3,4,4,4,3,4,6,4,4,3,5,2,5,2,2,12,35,1,9,5,8,10,7,3,7,6,6,6,7,3,7,4,0,0,0,0,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0,0.75,0.55,0.35,0.15,-0.05,-0.25,0
224,1,34,1,11,7,7,8,5,1,5,2,3,3,1,3,4,1,4,3,2,2,5,4,4,5,4,3,7,5,7,6,5,6,5,2,2,7,34,3,10,9,8,10,7,6,7,5,7,7,6,6,6,7,0,0,0,0,0.75,0,0,0.15,-0.05,-0.45,1.55,1.35,1.15,0,0,0.55,0,0.15,-0.05,-0.25,0,1.35,1.15,0.95,0,0,0,0,0,-0.45,0
225,2,31,1,8,2,2,7,4,2,4,4,2,3,2,3,4,2,2,5,4,5,2,4,3,4,2,4,4,4,4,2,4,2,5,2,2,13,22,2,8,11,6,9,2,7,7,3,6,6,7,5,2,5,0,0,0,0,0,0,0,0.15,-0.05,-0.25,0,0,0,0,0,0,0.35,0.15,-0.05,-0.25,0,0,0,0,0,0,0,0.15,-0.05,-0.25,0
226,2,30,1,21,2,2,6,2,5,4,2,2,2,2,2,4,5,4,2,2,4,4,3,4,2,2,4,7,4,3,4,7,5,4,2,2,9,29,4,10,3,10,11,7,6,6,3,4,5,7,5,6,7,0,0,0,0,0,0.55,0.35,0.15,-0.05,-0.25,1.55,0,0,0,0,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0
227,2,48,2,4,1,2,10,5,2,5,2,3,1,5,5,4,4,5,4,2,5,5,4,1,5,4,3,6,5,3,3,6,4,2,2,2,2,66,2,5,6,6,9,7,3,6,3,6,3,7,5,5,7,0,0,0,0,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0,0,0,0.35,0.15,-0.05,-0.25,0,0,0,0,0.75,0.55,0.35,0.15,-0.05,-0.25,0
228,1,39,1,9,3,3,7,2,4,4,3,4,4,4,4,4,5,4,3,4,4,3,4,4,4,3,4,6,5,3,3,3,6,1,2,2,9,29,6,10,8,11,5,7,6,7,2,7,7,7,6,7,7,0,0,0,0,0.75,0.55,0,0.15,-0.05,-0.25,0,0,0,0,0,0,0,0.15,-0.05,-0.25,0,0,0,0,0.75,0,0,0.15,-0.05,-0.25,0
229,1,29,2,6,4,4,6,3,5,1,4,4,2,5,4,3,3,3,3,4,4,3,4,4,4,3,5,7,6,5,6,5,6,6,2,2,5,26,3,10,6,7,6,6,6,6,6,6,6,6,5,6,6,0,1.35,0,0,0.75,0,0,0.15,-0.05,-0.25,1.55,0,0,0,0,0,0,0,-0.05,-0.25,0,0,1.15,0,0,0,0,0.15,-0.05,-0.45,0
230,1,25,2,14,4,4,7,4,2,3,3,3,3,3,2,3,2,2,4,4,2,4,3,3,4,3,3,5,4,4,3,5,3,4,2,2,4,25,2,8,5,6,6,3,3,3,3,3,3,3,3,3,2,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0
231,2,37,1,10,4,4,3,5,2,4,2,5,5,2,3,5,4,2,4,4,3,4,4,4,5,4,3,7,4,5,7,4,7,6,2,2,3,1,1,7,5,7,9,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,-0.25,0,0,0,0,0,0,0,0,0,-0.25,0,0,0,0,0,0,0,0,0,-0.45,0
