participant,sex,age,relat,income,poli_soc,poli_econ,trust_gen,HH1,HH2,HH3,HH4,HH5,HH6,HH7,HH8,HH9,HH10,AG1,AG2,AG3,AG4,AG5,AG6,AG7,AG8,AG9,AG10,DS1,DS2,DS3,DS4,DS5,DS6,DS7,target_sex,target_category,relate_length,partner_age,partner_proximity,partner_height,partner_weight,partner_attractive,partner_hygiene,comf1,comf2,comf3,comf4,comf5,comf6,comf7,comf8,comf9,comf10,75_109,75_94,75_79,75_64,75_49,75_34,75_19,75_4,75_-11,75_-26,19_28,19_24,19_20,19_16,19_12,19_9,19_5,19_1,19_-3,19_-7,46_67,46_58,46_48,46_39,46_30,46_21,46_12,46_2,46_-7,46_-16,English_exclude
268,2,36,1,11,2,4,7,4,2,4,4,2,3,3,5,4,4,2,2,2,4,2,2,4,2,2,2,6,6,6,5,5,6,7,2,2,5,28,2,7,6,8,9,2,1,4,1,2,2,5,2,2,3,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0
269,1,31,1,2,6,6,8,2,4,2,4,4,3,2,4,4,4,2,2,3,4,2,4,4,4,4,4,5,5,5,5,5,4,5,2,2,13,31,3,10,4,9,8,4,3,3,5,5,3,6,5,6,3,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0
270,1,31,1,7,1,1,1,4,2,1,3,5,3,1,5,5,5,1,2,2,5,1,2,2,5,2,2,7,6,6,3,6,4,6,2,2,2,32,3,6,3,9,10,6,7,7,1,7,3,7,5,4,7,0,0,0,0,0,0,0,0.15,-0.05,-0.25,0,0,0,0,0,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0,0,0.35,0.15,-0.05,-0.25,0
271,1,56,1,9,5,6,5,3,3,2,3,4,4,3,3,2,4,3,4,2,3,3,4,3,3,3,2,4,3,5,5,7,5,3,2,2,6,46,1,13,8,6,8,3,5,4,1,5,3,3,5,4,3,0,0,0,0,0,0,0,0.15,-0.05,-0.25,0,0,0,0,0,0,0,0.15,-0.05,-0.25,0,0,0,0,0,0,0,0.15,-0.05,-0.45,0
272,1,41,1,8,3,3,5,4,2,3,3,4,2,4,3,2,2,1,4,4,4,1,2,4,3,3,3,4,3,4,2,5,2,3,2,2,10,38,1,7,4,8,9,7,4,6,1,4,3,6,3,4,5,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0
273,1,22,2,5,5,5,6,4,5,4,4,4,5,5,4,4,5,3,4,2,3,2,3,4,3,4,4,5,4,4,6,6,6,5,2,2,13,22,1,7,2,8,9,6,3,6,4,5,5,7,5,6,6,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0
274,2,49,1,4,4,5,9,3,5,4,5,2,5,4,5,3,5,4,5,2,4,4,4,2,3,4,4,2,4,3,2,5,3,7,2,2,3,45,1,6,9,7,9,2,2,7,1,1,1,6,3,1,6,0,0,0,0,0,0,0,0.15,-0.05,-0.25,0,0,0,0,0,0,0,0.15,-0.05,-0.25,0,0,0,0,0,0,0,0.15,-0.05,-0.25,0
275,1,58,1,6,5,5,9,4,4,4,4,4,4,3,5,2,5,4,3,2,4,4,2,4,4,3,4,7,5,5,6,5,4,6,2,2,13,51,1,2,5,3,8,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0
276,2,38,2,13,4,4,9,5,5,1,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,2,1,7,7,4,4,4,7,2,2,5,28,6,4,3,6,6,1,1,4,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0.15,-0.05,-0.25,0,0,0,0,0,0,0,0.15,-0.05,-0.25,0
277,1,39,2,7,1,4,3,5,5,1,5,5,5,5,5,5,5,1,5,5,5,1,5,4,1,5,5,2,2,6,2,6,1,7,2,2,13,46,1,8,4,9,10,2,1,4,2,2,2,4,4,2,2,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0.15,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0
278,1,33,2,9,4,5,7,2,1,2,4,4,5,4,4,2,4,2,4,4,4,2,4,5,2,5,1,3,5,4,3,2,4,4,2,2,5,31,6,5,10,7,7,4,6,5,5,4,4,4,5,5,3,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0
279,1,34,2,2,5,2,1,4,2,4,3,4,2,4,3,4,2,2,4,4,2,2,2,2,2,2,2,4,4,2,4,4,4,4,2,2,13,34,1,2,7,1,5,5,3,3,3,3,3,3,3,4,3,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,0,-0.25,0
280,1,31,2,7,1,3,5,4,5,4,4,5,5,3,4,5,5,4,4,4,5,3,3,3,4,3,4,4,4,4,4,4,4,5,2,2,2,26,3,12,3,9,11,2,1,2,2,3,3,3,3,1,3,0,0,0,0,0,0,0,0.15,-0.05,-0.25,0,0,0,0,0,0,0,0.15,-0.05,-0.25,0,0,0,0,0,0,0,0.15,-0.05,-0.25,0
281,1,48,2,2,2,2,11,4,5,4,5,4,5,5,4,4,5,4,5,2,5,5,4,5,5,4,4,2,1,2,1,2,1,3,2,2,13,45,1,10,4,8,8,6,2,3,,6,6,6,2,6,6,1.55,1.35,1.15,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,1.55,1.35,1.15,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,1.55,1.35,1.15,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0
282,2,59,2,4,1,1,8,4,2,4,4,2,4,3,5,4,4,2,4,5,5,2,4,4,4,2,4,4,4,4,4,4,4,4,2,2,7,32,2,5,12,4,6,1,1,2,2,2,3,5,2,1,1,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.45,0
283,1,34,1,1,6,7,8,3,3,4,1,1,4,3,2,5,2,3,1,1,2,4,4,4,4,5,1,5,6,6,5,7,7,6,2,2,8,24,5,11,3,8,9,5,7,6,5,7,7,6,6,6,5,1.55,0,0,0,0,0,0.35,0.15,0,-0.25,1.55,1.35,0,0,0.75,0.55,0,0,-0.05,-0.45,1.55,1.35,0,0.95,0,0.55,0,0,0,-0.25,1
284,1,47,1,14,3,5,7,4,4,4,3,5,5,5,5,5,4,4,5,4,5,4,4,4,5,4,2,4,3,3,4,3,5,4,2,2,5,45,1,11,6,5,4,4,4,5,4,4,4,5,5,3,6,0,0,0,0,0,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0,0,0,0.35,0.15,-0.05,-0.25,0,0,0,0,0,0,0.35,0.15,-0.05,-0.25,0
285,1,21,2,30,2,1,6,3,2,2,2,4,2,2,1,3,2,3,4,4,3,3,5,2,2,3,4,7,6,5,6,5,6,6,2,2,12,36,1,9,6,8,10,2,2,4,1,1,3,3,1,2,3,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0.35,0,-0.05,-0.25,0
286,1,26,1,4,2,1,,3,2,3,3,3,4,3,3,3,3,4,2,3,3,3,4,3,3,4,3,6,6,6,6,6,6,6,2,2,13,27,8,6,5,4,4,6,6,6,2,6,,6,6,6,6,0,0,0,0,0.75,0,0,0,0,-0.45,0,0,0,0,0,0,0,0,0,-0.45,0,1.35,0,0,0,0.55,0,0,0,-0.25,0
287,1,25,2,15,5,6,5,3,4,4,1,4,4,1,2,5,2,3,2,4,4,4,2,2,5,4,4,7,5,1,4,6,5,3,1,3,1,28,5,6,10,1,3,5,2,3,1,3,5,3,3,1,3,0,0,0,0,0,0,0,0,-0.05,-0.45,0,0,0,0,0,0,0,0,0,-0.25,0,0,0,0,0,0,0,0,0,-0.45,0
288,1,35,1,2,3,3,4,4,3,2,2,2,2,2,2,2,4,3,2,4,2,4,2,3,2,4,4,3,6,5,3,6,5,5,1,3,3,45,2,5,5,6,8,4,5,5,3,6,5,3,6,3,4,1.55,0,1.15,0,0,0.55,0.35,0,0,-0.45,1.55,0,0,0,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,1.15,0,0,0,0,0,0,-0.25,0
289,2,35,1,11,7,7,8,4,5,4,5,4,4,5,5,1,5,2,4,5,5,2,4,4,4,3,4,6,5,6,5,6,5,6,1,3,2,38,2,8,12,6,7,3,1,3,1,3,4,4,1,1,3,0,0,0,0,0,0,0,0,0,-0.45,0,0,0,0,0,0,0,0,0,-0.45,0,0,0,0,0,0,0,0,0,-0.45,0
290,2,37,1,13,1,1,1,2,2,3,5,2,2,1,5,3,2,2,4,4,3,2,3,3,3,2,2,3,3,4,2,5,2,5,1,3,9,29,5,20,12,7,2,7,7,7,5,6,6,7,7,7,7,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0
291,1,26,1,5,3,3,3,5,5,2,5,4,5,1,4,5,5,5,5,5,5,4,4,3,5,4,5,7,1,5,2,6,4,1,1,3,2,35,3,10,19,3,4,1,1,1,1,1,5,3,1,1,1,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0
292,2,40,1,10,6,6,9,5,5,4,5,5,5,2,5,5,5,4,4,3,5,5,4,3,4,4,3,7,4,4,7,3,7,3,1,3,13,42,1,14,11,5,5,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,-0.45,0,0,0,0,0,0,0,0,0,-0.45,0,0,0,0,0,0,0,0,0,-0.45,0
293,1,34,2,3,4,4,4,4,4,2,4,3,3,2,5,3,4,4,2,4,4,3,4,4,4,2,4,7,3,4,6,3,6,4,1,3,4,60,1,10,17,4,3,3,3,2,2,2,2,3,3,1,3,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0
294,2,33,2,30,1,1,4,4,1,5,5,4,2,4,5,5,5,4,4,2,4,4,4,4,4,2,4,5,3,4,3,6,7,3,1,3,7,39,6,18,5,1,3,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,-0.45,0,0,0,0,0,0,0,0,0,-0.45,0,0,0,0,0,0,0,0,0,-0.45,0
295,1,35,1,24,4,4,9,4,3,2,3,4,3,4,4,4,4,2,4,2,4,2,3,1,2,3,3,4,3,2,2,3,4,2,1,3,4,45,1,9,6,3,6,2,2,2,3,3,2,3,3,3,3,0,0,0,0,0,0,0,0,0,-0.25,0,0,0,0,0,0,0,0,0,-0.45,0,0,0,0,0,0,0,0,0,-0.45,0
296,1,34,1,18,1,1,10,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,5,4,5,4,5,4,2,2,7,5,7,4,1,3,7,38,4,14,5,1,9,1,1,2,1,1,1,4,3,1,1,0,0,0,0,0,0,0,0,0,-0.45,0,0,0,0,0,0,0,0,0,-0.45,0,0,0,0,0,0,0,0,0,-0.45,0
297,2,36,1,22,1,1,11,5,5,1,5,5,5,5,5,5,5,5,1,1,4,5,3,3,3,3,1,7,1,3,1,4,1,4,1,3,10,60,2,14,9,6,9,1,1,1,1,4,1,1,1,1,1,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0
298,1,34,1,16,5,5,4,4,5,3,5,3,4,5,3,1,5,5,4,4,5,5,2,4,4,4,4,6,2,4,5,4,5,7,1,3,11,40,3,17,15,6,5,1,1,4,1,1,2,4,2,1,2,0,0,1.15,0,0,0.55,0.35,0.15,-0.05,-0.25,1.55,0,0,0.95,0,0,0.35,0.15,-0.05,-0.25,0,0,0,0,0.75,0,0.35,0.15,-0.05,-0.25,0
299,2,24,2,3,1,1,1,5,1,4,5,4,2,5,5,4,1,2,5,2,5,3,4,1,4,4,4,6,1,2,3,4,4,2,1,3,13,28,2,14,13,6,3,2,1,1,1,1,2,1,1,2,2,0,0,0,0,0,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0,0.75,0,0.35,0.15,-0.05,-0.25,0
300,2,33,1,10,3,3,5,4,3,4,4,4,4,3,4,2,4,2,3,2,4,2,3,4,3,2,4,6,5,5,5,5,4,4,1,3,13,36,5,12,11,3,6,2,2,2,1,2,2,2,1,1,4,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0
301,1,39,1,15,1,1,8,4,4,4,4,4,4,4,4,4,4,3,4,4,4,3,4,2,3,4,4,4,5,4,3,4,4,6,1,3,13,39,5,13,14,8,9,2,2,2,2,3,3,2,1,2,2,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0
302,2,45,1,15,1,1,6,5,5,1,5,2,5,2,4,5,5,4,5,2,5,4,4,4,5,4,5,7,7,4,6,4,7,7,1,3,6,60,1,12,9,6,11,2,4,6,1,2,2,5,1,3,2,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0
303,1,28,1,13,3,3,8,4,5,3,3,4,4,3,4,4,5,3,4,2,2,3,4,4,3,4,4,7,5,6,6,7,5,7,1,3,5,30,3,9,9,5,4,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,-0.45,0,0,0,0,0,0,0,0,0,-0.45,0,0,0,0,0,0,0,0,0,-0.45,0
304,2,30,1,7,4,4,5,4,2,5,5,4,3,5,5,4,3,5,3,2,4,5,4,4,5,3,3,5,7,7,6,6,5,6,1,3,10,50,1,12,16,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,-0.45,0,0,0,0,0,0,0,0,0,-0.45,0,0,0,0,0,0,0,0,0,-0.45,0
305,2,33,1,6,6,5,8,3,5,4,2,5,5,4,3,2,2,4,4,2,2,5,4,5,4,4,3,7,3,4,4,3,3,6,1,3,5,38,3,15,11,3,4,1,1,3,2,2,2,3,3,1,1,0,0,0,0,0,0,0,0,0,-0.45,0,0,0,0,0,0,0,0,0,-0.45,0,0,0,0,0,0,0,0,0,-0.45,0
306,1,71,2,1,4,7,11,4,1,2,5,5,2,2,5,3,3,2,2,5,5,3,4,4,2,2,4,4,4,4,5,6,6,6,1,3,3,50,6,7,6,3,3,2,1,1,1,1,2,3,1,1,1,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0
307,1,46,1,12,3,5,7,2,5,4,4,4,5,2,4,4,5,2,2,2,2,2,2,4,2,2,2,3,4,4,3,3,3,4,1,3,4,48,6,10,9,3,8,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,-0.45,0,0,0,0,0,0,0,0,0,-0.45,0,0,0,0,0,0,0,0,0,-0.45,0
308,2,23,1,5,2,2,9,2,2,2,4,4,2,2,2,4,4,4,4,2,4,4,4,4,4,4,4,5,4,4,3,5,3,6,1,3,7,24,6,13,11,5,7,3,3,3,3,3,4,3,2,3,5,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0
309,1,40,1,7,7,7,6,1,3,4,4,5,3,3,4,5,3,4,4,1,4,4,4,3,3,4,2,5,2,3,4,4,4,4,1,3,7,23,1,14,8,7,3,1,1,2,1,1,3,2,1,1,1,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0
310,2,34,1,19,5,5,6,4,5,2,4,4,4,2,2,1,5,2,5,5,5,2,5,4,5,4,5,7,6,6,1,5,3,7,1,3,8,46,1,16,10,2,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0
311,1,22,1,14,2,2,8,3,3,3,4,4,1,3,2,3,2,3,2,2,4,2,2,5,4,1,5,5,4,3,4,3,6,7,1,3,10,26,5,15,9,6,8,1,1,2,1,2,3,4,1,1,1,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0.15,0,-0.45,0,0,0,0,0,0,0,0,-0.05,-0.25,0
312,2,35,1,14,4,5,6,5,5,4,5,5,5,5,5,5,5,5,4,2,4,5,5,4,4,4,5,7,4,5,7,6,6,6,1,3,3,34,4,13,11,10,11,3,5,5,1,1,1,6,1,3,2,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0
313,2,35,1,16,1,1,4,2,5,2,5,3,5,2,5,3,5,2,3,2,3,3,2,3,2,2,2,7,3,3,2,7,7,7,1,3,13,60,1,12,15,1,8,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,-0.25,0,0,0,0,0,0,0,0,0,-0.45,0,0,0,0,0,0,0,0,0,-0.25,0
314,2,28,1,13,6,6,3,2,4,2,4,4,2,2,4,2,4,4,4,4,4,4,2,4,4,2,4,6,6,6,5,6,6,7,1,3,8,29,1,17,12,5,3,1,1,1,1,1,2,1,1,1,2,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0
315,1,42,2,30,2,2,1,5,1,2,4,5,5,5,4,5,1,1,2,2,5,1,2,1,5,2,4,6,6,4,4,3,2,6,1,3,4,30,1,11,8,7,7,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0
316,2,71,1,5,7,6,7,5,5,4,4,5,5,4,4,5,5,4,4,5,4,4,4,4,4,3,5,6,3,3,5,6,3,4,1,3,13,32,2,8,5,9,10,1,1,3,1,2,3,2,1,1,3,0,0,0,0,0.75,0.55,0.35,0,-0.05,-0.25,0,1.35,0,0.95,0.75,0,0.35,0.15,0,-0.45,0,0,0,0.95,0.75,0,0.35,0.15,-0.05,-0.45,0
317,2,41,1,30,3,5,4,4,5,2,3,4,4,2,3,5,5,2,2,2,5,3,3,4,5,2,3,6,6,7,5,6,6,7,1,3,13,40,2,12,6,3,4,1,1,1,1,1,3,1,2,1,1,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0
318,1,34,1,17,6,7,8,4,2,4,4,4,4,3,4,4,5,4,4,2,5,4,3,4,5,4,3,4,5,3,4,4,2,5,1,3,7,48,4,12,11,1,4,2,2,1,3,1,4,1,1,1,2,0,0,0,0,0,0,0,0,0,-0.45,0,0,0,0,0,0,0,0,0,-0.45,0,0,0,0,0,0,0,0,0,-0.45,0
319,2,27,1,9,6,5,9,2,4,4,2,4,5,4,4,2,5,2,4,2,4,5,4,4,4,3,5,4,2,3,5,3,1,3,1,3,5,30,2,8,10,4,9,6,2,2,4,1,3,3,1,3,1,0,1.35,0,0.95,0,0,0,0.15,-0.05,-0.25,0,1.35,0,0,0.75,0,0,0.15,0,-0.25,0,0,0,0.95,0.75,0,0,0.15,-0.05,-0.25,0
320,1,33,2,6,1,4,6,4,5,5,5,3,5,5,5,4,5,5,5,2,5,5,5,4,5,4,4,3,3,4,3,5,5,5,1,3,13,33,1,9,19,3,3,2,1,2,2,2,2,4,2,3,2,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0
321,1,73,1,10,6,6,9,4,5,4,4,4,5,4,3,4,5,4,4,4,4,4,3,4,4,3,4,5,6,5,5,6,3,6,1,3,11,55,1,12,12,6,9,1,1,2,1,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,-0.25,0,0,0,0,0,0,0,0,0,-0.45,0,0,0,0,0,0,0,0,0,-0.25,0
322,1,69,2,4,6,6,9,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,3,7,1,7,7,7,7,4,1,3,13,50,5,11,7,3,9,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,-0.45,0,0,0,0,0,0,0,0,0,-0.45,0,0,0,0,0,0,0,0,0,-0.45,0
323,2,30,1,20,5,6,7,3,5,2,4,2,5,2,2,2,5,2,4,4,4,3,4,3,4,4,3,5,4,2,3,4,5,4,1,3,5,32,1,14,9,6,8,3,2,4,1,2,2,2,1,3,3,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0
324,2,24,2,17,2,2,7,4,3,3,5,3,4,4,5,3,3,2,4,2,4,3,2,2,3,3,2,6,5,5,6,6,7,6,1,3,12,38,4,17,7,5,9,2,2,3,2,1,3,3,3,2,4,0,0,0,0,0,0,0,0.15,-0.05,-0.25,0,0,0,0,0,0,0,0.15,-0.05,-0.25,0,0,0,0,0,0,0,0.15,-0.05,-0.25,0
325,2,31,1,23,6,6,5,4,2,4,2,4,2,4,4,4,4,2,2,2,4,2,2,4,2,4,2,7,6,4,4,6,7,6,1,3,7,40,4,12,10,4,7,1,1,1,1,2,2,2,1,1,1,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0
326,2,51,1,4,3,3,5,4,5,4,4,2,4,2,4,4,5,4,4,2,4,4,4,5,4,2,4,5,4,3,6,5,6,4,1,3,11,34,8,8,7,8,9,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,-0.25,0,0,0,0,0,0,0,0,0,-0.45,0,0,0,0,0,0,0,0,0,-0.45,0
327,1,44,1,28,4,5,8,4,5,2,4,4,5,2,4,4,5,5,4,4,4,4,4,4,4,2,4,7,5,4,7,4,5,3,1,3,5,32,2,10,11,10,10,2,1,3,1,1,2,3,1,3,2,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,0,-0.45,0,0,0,0,0,0,0,0,0,-0.25,0
328,2,45,1,19,1,1,10,4,5,3,5,5,5,3,5,5,5,4,4,3,5,4,5,1,3,3,4,5,6,6,2,6,5,6,1,3,12,67,1,12,7,6,8,1,1,2,1,1,3,2,1,1,1,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0
329,2,32,1,16,2,2,3,2,2,2,4,2,2,4,4,2,2,1,2,2,4,1,2,2,4,4,2,4,5,3,2,4,2,6,1,3,7,42,4,15,9,3,10,3,5,5,4,6,5,7,2,4,3,0,0,0,0,0,0,0,0,0,-0.25,0,0,0,0,0,0,0,0,0,-0.45,0,0,0,0,0,0,0,0,0,-0.25,0
330,2,42,2,7,4,4,4,3,2,4,4,2,2,3,4,4,2,2,3,2,2,2,3,3,2,2,2,6,4,5,5,4,4,7,1,3,5,38,1,9,13,2,8,4,3,4,1,1,2,2,3,1,3,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0
331,2,37,1,4,4,7,9,4,3,4,5,4,3,4,4,4,2,4,4,2,5,4,5,4,5,5,4,7,2,5,2,4,3,3,1,3,4,36,1,10,11,5,6,2,2,4,1,2,2,5,1,1,1,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0
332,1,30,1,10,6,7,8,5,2,4,2,1,5,2,2,5,1,4,1,1,2,5,4,5,5,5,2,7,6,5,7,6,5,6,1,3,7,30,3,3,2,7,8,,,,,,,7,,,,1.55,1.35,1.15,0,0.75,0,0.35,0.15,0,-0.25,1.55,1.35,0,0,0.75,0.55,0.35,0,0,-0.45,1.55,1.35,0,0.95,0,0,0,0,-0.05,-0.25,0
333,1,29,2,1,1,1,6,4,4,3,4,4,4,3,3,2,4,2,2,2,4,4,3,2,2,4,2,5,2,5,4,5,6,5,1,3,11,28,2,13,13,3,5,1,1,1,1,1,2,2,1,1,1,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0
334,1,36,2,10,2,3,7,4,4,3,4,5,4,4,3,2,4,2,4,2,4,2,2,2,4,1,2,7,6,4,5,6,4,7,1,3,3,46,2,14,11,2,3,1,1,1,1,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,-0.45,0,0,0,0,0,0,0,0,0,-0.45,0,0,0,0,0,0,0,0,0,-0.45,0
335,1,33,2,4,7,6,7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,3,3,5,5,5,4,3,4,3,1,4,1,3,5,48,3,8,10,2,6,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0
336,2,44,1,8,4,4,6,4,4,3,3,4,3,3,4,4,4,4,4,4,4,4,3,4,4,3,3,6,4,5,6,4,4,7,1,3,12,38,1,14,17,4,6,1,2,4,1,2,2,2,2,1,4,0,0,0,0,0,0,0,0,0,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,0,-0.45,0
337,2,39,1,10,4,4,4,4,5,3,5,4,4,4,5,5,3,2,2,1,1,3,1,2,1,2,2,4,6,5,3,4,6,6,1,3,13,67,1,11,12,4,5,1,1,1,1,1,1,1,1,1,2,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0
338,1,36,1,3,3,5,2,3,5,2,5,2,5,2,5,2,5,1,2,2,5,1,2,3,3,3,1,7,7,2,5,7,7,7,1,3,13,35,1,11,8,4,7,1,1,6,1,4,1,3,7,1,2,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0
